id,topic_category,sub_category,source_dataset,region,cultural_topic,user_message,ai_response,model,word_count_response,selected,epistemic_positioning,pragmatic_appropriateness,ethical_handling,factual_accuracy,conversational_quality,overall_score,annotator_notes
me_001,medical,treatment,MedQuAD,,,What are the treatments for Parasites - American Trypanosomiasis (also known as Chagas Disease) ?,"Treatment for Chagas disease is recommended for all people diagnosed with an acute infection, congenital infection, and for those with suppressed immune systems, and for all children with chronic infection. Adults with chronic infection may also benefit from treatment.
 
For cardiac or gastrointestinal problems resulting from Chagas disease, symptomatic treatment may be helpful. Patients should consult with their primary health care provider. Some patients may be referred to a specialist, such as a cardiologist, gastroenterologist, or infectious disease specialist.
 
In the U.S., medication for Chagas is available only through CDC. Your health care provider can talk with CDC staff about whether and how you should be treated.
 
More on: Resources for Health Professionals: Antiparasitic Treatment",human_expert,115,,,,,,,,
me_002,medical,treatment,MedQuAD,,,What are the treatments for Parasites - African Trypanosomiasis (also known as Sleeping Sickness) ?,"All persons diagnosed with African Trypanosomiasis should receive treatment. The specific drug and treatment course will depend on the type of infection (T. b. gambiense or T. b. rhodesiense) and the disease stage (i.e. whether the central nervous system has been invaded by the parasite). Pentamidine, which is the recommended drug for first stage T. b. gambiense infection, is widely available in the U.S. The other drugs (suramin, melarsoprol, eflornithine, and nifurtimox) used to treat African trypanosomiasis are available in the U.S. only from the CDC. Physicians can consult with CDC staff for advice on diagnosis and management and to obtain otherwise unavailable treatment drug.
 
There is no test of cure for African trypanosomiasis. After treatment patients need to have serial examinations of their cerebrospinal fluid for 2 years, so that relapse can be detected if it occurs.
 
More on: Resources for Health Professionals: Treatment",human_expert,145,,,,,,,,
me_003,medical,treatment,MedQuAD,,,What are the treatments for Vasculitis Syndromes of the Central and Peripheral Nervous Systems ?,"Treatment for a vasculitis syndrome depends upon the specific diagnosis, which can be difficult, as some diseases have similar symptoms of vasculitis. Most of the syndromes respond well to steroid drugs, such as prednisolone. Some may also require treatment with an immunosuppressive drug, such as cyclophosphamide. Aneurysms involved with vasculitis can be treated surgfically.",human_expert,54,,,,,,,,
me_004,medical,symptoms,MedQuAD,,,What are the symptoms of Dermatitis Herpetiformis: Skin Manifestation of Celiac Disease (For Health Care Professionals) ?,"Dermatitis herpetiformis is characterized by small, clustered papules and vesicles that erupt symmetrically on the elbows, knees, buttocks, back, or scalp. The face and groin can also be involved. A burning sensation may precede lesion formation. Lesions are usually scratched off by the time a patient comes in for a physical exam, and the rash may appear as erosions and excoriations.
 
Patients with DH may also experience dental enamel defects to permanent teeth, which is another manifestation of celiac disease. Less than 20 percent of people with DH have symptoms of celiac disease.3",human_expert,93,,,,,,,,
me_005,medical,treatment,MedQuAD,,,What are the treatments for Dermatitis Herpetiformis: Skin Manifestation of Celiac Disease (For Health Care Professionals) ?,"The sulfone dapsone can provide immediate relief of symptoms. For patients who cannot tolerate dapsone, sulfapyridine or sulfamethoxypyridazine may be used, although these medications are less effective than dapsone. A strict gluten-free diet is the only treatment for the underlying disease. Even with a gluten-free diet, medication therapy may need to be continued from a few months to 2 years.
 
DH can go into remission, which is defined as absence of skin lesions and symptoms of DH for more than 2 years while not taking sulfones or other treatments and not adhering to a gluten-free diet. Cohort studies showing DH remission provide support for reducing sulfone therapy and weaning from a gluten-free diet in patients with well-controlled DH.6",human_expert,118,,,,,,,,
me_006,medical,symptoms,MedQuAD,,,What are the symptoms of What I need to know about Interstitial Cystitis/Painful Bladder Syndrome ?,"Signs of bladder problems include
 
- Urgency. The feeling that you need to go right now! Urgency is normal if you haven't been near a bathroom for a few hours or if you have been drinking a lot of fluids. But you may have a problem if you have strong urges before your bladder has had time to fill. All of a sudden, you feel a strong urge to go. At times, you may even have an accident because the urge strikes so quickly you don't have time to find a bathroom. - Frequency. The feeling that you need to go much more often than anyone else. Doctors and nurses use the term void, which means to empty the bladder. Most people void between four and seven times a day. Drinking large amounts of fluid can cause more frequent voiding. Taking blood pressure medicines called diuretics, or water pills, can also cause more frequent voiding. If you void more than eight times a day, and you dont take diuretics or drink large amounts of fluid, it may be the sign of a problem. - Pain. The feeling of more than discomfort when you need to go. Having a full bladder may be uncomfortable, but it should not be painful. You may have a problem if you feel burning or sharp pain in your bladder or urethrathe opening where urine leaves the body.
 
Some people may have pain without urgency or frequency. Others have urgency and frequency without pain.",human_expert,248,,,,,,,,
me_007,medical,treatment,MedQuAD,,,What are the treatments for What I need to know about Interstitial Cystitis/Painful Bladder Syndrome ?,"No one treatment for IC/PBS has been found that works for everyone. Your doctor or nurse will work with you to find a treatment plan that meets your special needs. The plan may include diet and lifestyle changes, bladder retraining, activity and exercise, physical therapy, and various types of medicines. You should expect some treatment failures along the way, but, with time, you and your doctor or nurse should find a treatment that gives you some relief and helps you cope with your disease.
 
Diet and Lifestyle Changes
 
Some people with IC/PBS find that certain foods or drinks bring on their symptoms. Others find no link between symptoms and what they eat.
 
Learning what foods cause symptoms for you may require some trial and error. Keep a food diary and note the times you have bladder pain. The diary might reveal that your flare-ups always happen, for example, after you eat tomatoes or oranges.
 
Some doctors recommend taking an antacid medicine with meals. The medicine reduces the amount of acid that gets into the urine.
 
If you make changes to your diet, remember to eat a variety of healthy foods.
 
Bladder Retraining
 
Bladder retraining is a way to help your bladder hold more urine. People with bladder pain often get in the habit of using the bathroom as soon as they feel pain or urgency. They then feel the need to go before the bladder is really full. The body may get used to frequent voiding. Bladder retraining helps your bladder hold more urine before signaling the urge to urinate.
 
Keep a bladder diary to track how you are doing. Start by noting the times when you void. Note how much time goes by between voids. For example, you may find that you return to the bathroom every 40 minutes.
 
Try to stretch out the time between voids. If you usually void every 40 minutes, try to wait at least 50 minutes before you go to the bathroom.
 
If your bladder becomes painful, you may use the bathroom. But you may find that your first urge to use the bathroom goes away if you ignore it. Find ways to relax or distract yourself when the first urge strikes.
 
After a few days, you may be able to stretch the time out to 60 or 70 minutes, and you may find that the urge to urinate does not return as soon.
 
Activity
 
If you have IC/PBS, you may feel the last thing you want to do is exercise. But many people feel that easy activities like walking or gentle stretching exercises help relieve symptoms.
 
Physical Therapy
 
Your doctor or nurse may suggest pelvic exercises. The pelvic muscles hold the bladder in place and help control urination. The first step is to find the right muscle to squeeze. A doctor, nurse, or physical therapist can help you. One way to find the muscles is to imagine that you are trying to stop passing gas. Squeeze the muscles you would use. If you sense a ""pulling"" feeling, you have found the right muscles for pelvic exercises.
 
You may need exercises to strengthen those muscles so that it's easier to hold in urine. Or you may need to learn to relax your pelvic muscles if tense muscles are part of your bladder pain.
 
Some physical therapists specialize in helping people with pelvic pain. Ask your doctor or nurse to help you find a professional trained in pelvic floor physical therapy.
 
Reducing Stress
 
Stress doesn't cause IC/PBS. But stress can trigger painful flare-ups in someone who has IC/PBS. Learning to reduce stress in your life by making time for relaxation every day may help control some symptoms of IC/PBS.
 
Oral Medicines
 
Pain pills like aspirin, ibuprofen, or acetominophen can help control mild bladder pain. Advil and Motrin are examples of ibuprofen. Tylenol is an example of acetominophen. Talk with your doctor if you feel you need a stronger pain medicine.
 
Your doctor may recommend a medication, pentosan polysulfate sodium, sold as Elmiron, which is approved for treating the pain of IC/PBS. You may need to take this medicine for up to 6 months before you notice improvement. Elmiron does not work for everyone, but some people with IC/PBS have found relief taking it. You need a doctor's order for Elmiron. If you don't notice improvement of your symptoms in 6 months, this medicine is not likely to work.
 
Researchers are also looking at other kinds of medicines. Medicines that treat heartburn might help bladder symptoms by reducing the amount of acid made in the body. Muscle relaxants can keep the bladder from squeezing at the wrong time. Keeping the bladder muscle relaxed helps ease the symptoms of IC/PBS.
 
Bladder Stretching
 
The doctor may stretch the bladder by filling it with liquid. You will be given an anesthetic to prevent pain and help relax your bladder muscles. Some patients have said their symptoms were helped after this treatment.
 
Bladder Medicines
 
Many patients who have IC/PBS find relief after a treatment in which their bladders are filled with a liquid medicine. The doctor guides a tube into your bladder and slowly fills the bladder with a liquid that eases irritation of the bladder wall. The liquid may be a compound called DMSO or a solution that contains heparin and a pain medicine called lidocaine.
 
You will keep the liquid in your bladder for about 15 minutes and then release it. You can have this treatment once every week or every other week for 1 or 2 months. You may not feel any better until the third or fourth treatment.
 
Nerve Stimulation
 
If you have tried diet changes, exercise, and medicines and nothing seems to help, you may wish to think about nerve stimulation. This treatment sends mild electrical pulses to the nerves that control the bladder.
 
At first, you may try a system that sends the pulses through electrodes placed on your skin. If this therapy works for you, you may consider having a device put in your body. The device delivers small pulses of electricity to the nerves around the bladder.
 
For some patients, nerve stimulation relieves bladder pain as well as urinary frequency and urgency. For others, the treatment relieves frequency and urgency but not pain. For still other patients, it does not work.
 
Scientists are not sure why nerve stimulation works. Some believe that the electrical pulses block the pain signals carried in the nerves. If your brain doesn't receive the nerve signal, you don't feel the pain. Others believe that the electricity releases endorphins, which are hormones that block pain naturally.
 
Surgery
 
As a last resort, your doctor might suggest surgery to remove part or all of the bladder. Surgery does not cure the pain of IC/PBS in all cases, but if you have tried every other option and your pain is still unbearable, surgery might be considered.
 
Talk with your doctor and family about the possible benefits and side effects.",human_expert,1158,,,,,,,,
me_008,medical,symptoms,MedQuAD,,,What are the symptoms of I Can Lower My Risk for Type 2 Diabetes: A Guide for American Indians ?,"Many people have no visible signs or symptoms of diabetes. Symptoms can also be so mild that you might not notice them. More than 5 million people in the United States have type 2 diabetes and do not know it.
 
- increased thirst - increased hunger - fatigue - increased urination, especially at night - unexplained weight loss - blurred vision - sores that do not heal",human_expert,67,,,,,,,,
me_009,medical,treatment,MedQuAD,,,What are the treatments for What I need to know about Living with Kidney Failure ?,"Kidney failure means your kidneys no longer work well enough to do their job. You need treatment to replace the work your damaged kidneys have stopped doing. The treatments for kidney failure are
 
- hemodialysis - peritoneal dialysis - a kidney transplant
 
Your kidneys filter wastes and extra fluid from your blood to keep you healthy. The wastes and extra fluid become urine that is stored in your bladder until you urinate. When your kidneys fail, dialysis can take over a small part of the work your damaged kidneys can no longer do. You can make treatments work better by
 
- sticking to your treatment schedule - taking all medicines your doctor prescribes - following a special diet that keeps wastes from building up in your blood - being active most days of the week
 
Hemodialysis
 
Hemodialysis is a treatment for kidney failure. Hemodialysis uses a machine to filter your blood outside your body. First, a dialysis nurse places two needles into your arm. A pump on the hemodialysis machine draws your blood through one of the needles into a tube. The tube takes the blood to a filter, called a dialyzer. Inside the dialyzer, your blood flows through thin fibers that are like straws. The wastes and extra fluid leave the blood through tiny holes in the fibers. Then, a different tube carries the filtered blood back to your body through the second needle.
 
More information is provided in the NIDDK health topics, Treatment Methods for Kidney Failure: Hemodialysis and Home Hemodialysis.
 
Peritoneal Dialysis
 
catheter
 
Treatment Methods for Kidney Failure: Peritoneal Dialysis
 
Kidney Transplant
 
A kidney transplant places a healthy kidney from another person into your body. The kidney may come from someone who has just died. Your doctor will place your name on a waiting list for a kidney. A family member or friend might be able to give you a kidney. Then you dont have to wait.
 
The new kidney takes over filtering your blood. The damaged kidneys usually stay where they are. The new kidney is placed in the front lower abdomen, on one side of the bladder. Your body normally attacks anything that shouldnt be there, such as bacteria. Your body will think the new kidney shouldnt be there. You will take medicines called immunosuppressants to keep your body from attacking the new kidney.
 
More information is provided in the NIDDK health topic, Treatment Methods for Kidney Failure: Transplantation.
 
*See the Pronunciation Guide for tips on how to say the the words in bold type.",human_expert,420,,,,,,,,
me_010,medical,treatment,MedQuAD,,,What are the treatments for Kidney Failure: Choosing a Treatment That's Right for You ?,"If you have advanced chronic kidney disease (CKD), you may soon need treatment to do the work your kidneys can no longer do. Learning about your treatment options for kidney failure will help you make the best choice for you. Each treatment has pros and cons. Your choice of treatment will have a big effect on your daily life, such as continuing to work if you do so currently. Talking with your doctor ahead of time about your options can help you take control of your care. Understanding the treatment you choose and getting used to the idea that you need to have this treatment takes time. If you find your choice of treatment does not fit your lifestyle, talk with your doctor about picking another treatment that fits your needs better.",human_expert,132,,,,,,,,
